OccNo,OccYear,OccDate,OccClassID,OccurrenceType,OccSubType,AccIncType,AccIncSubType,Region,NearLocDescription,NearLocDistance,Latitude,Longitude,AreaType,PollutionIND,DGCargoReleaseIND,TotalFatalities,SeriousInjuries,NbVesselsInvolved,PrimaryVesselName,PrimaryVesselFlag,PrimaryVesselType,PrimaryVesselSubType,PrimaryVesselGrossTonnage,PrimaryVesselYearBuilt,PrimaryVesselYearRebuilt,PrimaryVesselActivityType,PrimaryVesselActivitySubType,PrimaryVesselLossIND,PRODUCTION_DT
M04C0033,2004,2004-08-05,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),CENTRAL REGION,"ST CLAIR RIVER, (FAWN ISLAND AND CDN MAINLAND), ON",,42.69716,-82.49101,RIVER,NO,NO,0,0,1,HALIFAX,CANADA,CARGO - SOLID,BULK CARRIER,20645.51,1963,1980,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0157,2004,2004-08-05,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"STEVESTON JETTY, RICHMOND, B.C.",,49.11666,-123.2,RIVER,NO,NO,0,0,1,VEDA MAE,CANADA,FISHING,UNKNOWN,14.79,1988,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0159,2004,2004-08-05,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"STEVESTON, B.C.",,49.11666,-123.1833,RIVER,NO,NO,0,0,1,WEST WIND,CANADA,FISHING,UNKNOWN,8,1951,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04F0020,2004,2004-08-06,5,ACCIDENT,SHIPPING ACCIDENT,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",FOREIGN WATERS,MAUMEE RIVER NEAR TOLEDO OHIO,,41.82888,-83.1425,RIVER,NO,NO,0,0,1,CATHERINE DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,5674.92,1961,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0085,2004,2004-08-06,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,ATLANTIC REGION,SYDNEY HARBOUR,,46.2,-60.21666,HARBOUR AREA,NO,NO,0,0,1,KELSEY & MITCHELL,CANADA,FISHING,UNKNOWN,14.5,2004,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0161,2004,2004-08-06,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"BREMNER ROCK, B.C.",,51.13333,-127.75,CHANNEL / STRAIT / SOUND,NO,NO,0,0,3,SEASPAN REGENT,CANADA,TUG,N/A,567.92,1976,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04W0163,2004,2004-08-06,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,PACIFIC REGION,"LAGOON BAY, FITZHUGH SOUND, B.C.",,52.02944,-127.9127,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SATSUMA,CANADA,FISHING,GILLNETTER,14.69,1980,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0191,2004,2004-08-06,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,STRUCK BY VESSEL,PACIFIC REGION,"STEVESTON BEND, LOWER FRASER RIVER, BC",,49.11666,-123.2333,RIVER,NO,NO,0,0,2,FRASER TITAN,CANADA,SERVICE SHIP,DREDGER/HOPPER,3289.37,1969,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04C0040,2004,2004-08-07,5,ACCIDENT,SHIPPING ACCIDENT,CAPSIZES,N/A,CENTRAL REGION,"COOKS BAY, LAKE SIMCOE, ONT",,44.23367,-79.50468,BAY,NO,NO,2,0,1,UNK/INC RUNABOUT,CANADA,SAILING VESSEL,UNKNOWN,,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04F0026,2004,2004-08-07,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),FOREIGN WATERS,"MCARTHUR LOCK, SAULT ST. MARIE MICHIGAN",,46.50094,-84.33122,LOCK,NO,NO,0,0,1,SARAH SPENCER,CANADA,BARGE - OTHER,BARGE - UNKNOWN,14707.85,1959,1989,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0098,2004,2004-08-07,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"SECTION 57, PORT DE MONTREAL, QUE",,45.51464,-73.54414,HARBOUR AREA,NO,NO,0,0,1,LAKE EVA,MARSHALL ISLANDS,CARGO - LIQUID,PRODUCT TANKER,10948,1989,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0162,2004,2004-08-07,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"ROBERTS BANK, B.C.",,48.90416,-123.0552,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,YUEHE,PANAMA,CARGO - SOLID,CONTAINER SHIP,65140,1997,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0086,2004,2004-08-08,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,ATLANTIC REGION,"DIGBY HARBOUR, N.S.",,44.62583,-65.75166,HARBOUR AREA,YES,NO,0,0,2,J. L. HART,CANADA,RESEARCH/SURVEY- OTHER,N/A,89.49,1974,,SERVICE,RESEARCH,NO,2018-08-15T10:01:40
M04H0007,2004,2004-08-09,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,CENTRAL REGION,"AMUNDSEN GULF, WEST ARCTIC",,70.58333,-122.6166,AT SEA (GENERAL),NO,NO,0,0,1,AMUNDSEN,CANADA,SERVICE SHIP,ICEBREAKER,5910.42,1978,,GOVERNMENT-GENERAL,N/A,NO,2018-08-15T10:01:40
M04W0164,2004,2004-08-09,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"DEHORSLEY ISLAND, B.C.",,54.12861,-130.0855,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,TANNER'S QUEST,CANADA,FISHING,GILLNETTER,14,1976,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04L0099,2004,2004-08-11,3,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,CENTRAL REGION,"ST.NICOLAS, ST.LAWRENCE RIVER, QUE",,46.715,-71.42833,RIVER,YES,NO,2,0,2,CANADA SENATOR,LIBERIA,CARGO - SOLID,CONTAINER SHIP,30567,1992,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0088,2004,2004-08-11,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,ATLANTIC REGION,"92 NM SOUTH EAST OF SYDNEY, NS.",,44.91666,-58.91666,AT SEA (GENERAL),NO,NO,0,1,1,DONALD MARSHALL JR.,CANADA,FISHING,UNKNOWN,95.05,2003,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0165,2004,2004-08-11,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),PACIFIC REGION,"CHATHAM POINT, B.C.",,50.33361,-125.4405,HARBOUR AREA,NO,NO,0,0,1,WEST COAST,CANADA,PASSENGER,PASSENGER - CARGO,,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04W0167,2004,2004-08-12,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"NEW WESTMINSTER, B.C.",,49.19713,-122.9233,RIVER,NO,NO,0,0,1,KEN MACKENZIE,CANADA,TUG,N/A,8.79,1989,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04C0049,2004,2004-08-13,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,CENTRAL REGION,"ST. MARY'S RIVER, ONT",,46.41666,-84.23333,RIVER,NO,NO,0,1,1,SPRUCEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,22388,1982,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04C0073,2004,2004-08-13,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"PORT OF THUNDER BAY , ON.",,48.37532,-89.19729,HARBOUR AREA,NO,NO,0,0,2,ROSALEE D.,CANADA,TUG,N/A,,,,UNKNOWN,N/A,NO,2018-08-15T10:01:40
M04L0100,2004,2004-08-13,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,CENTRAL REGION,"PORT CARTIER, QU�BEC",,50.03305,-66.78305,HARBOUR AREA,NO,NO,0,1,1,CANADIAN MINER,CANADA,CARGO - SOLID,BULK CARRIER,17830.78,1966,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0089,2004,2004-08-13,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"20 NM EAST OF MISCOU ISLAND, N.B.",,47.965,-64,AT SEA (GENERAL),NO,NO,0,0,1,DANIEL MARCEL M.,CANADA,FISHING,UNKNOWN,13.54,1980,,CARRIAGE OF PEOPLE,TRAINING (SAIL/CADET),NO,2018-08-15T10:01:40
M04M0090,2004,2004-08-13,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"0.5 NM WEST OF CAPE FORCHU, NS.",,43.80694,-66.1775,AT SEA (GENERAL),NO,NO,0,0,1,LADY JULIANNE,CANADA,FISHING,UNKNOWN,13.52,1973,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0171,2004,2004-08-13,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,PACIFIC REGION,"BROOKS PENINSULA, WEST COAST OF VAN. IS, B.C.",,50.12805,-128.0125,AT SEA (GENERAL),NO,NO,0,1,1,MORNING SUNRISE,CANADA,FISHING,UNKNOWN,14.87,1979,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04C0043,2004,2004-08-14,3,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,CENTRAL REGION,"NEAR INDIAN PT, BAY OF QUINTE, ONT",,44.11666,-76.86666,CHANNEL / STRAIT / SOUND,NO,NO,0,0,2,UNKNOWN - BARGE - UNSPECIFIED,CANADA,BARGE - UNSPECIFIED,N/A,25,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04N0080,2004,2004-08-14,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),ATLANTIC REGION,"1.5 NM W OF DANTZIC POINT, FORTUNE BAY",,46.98833,-56.015,BAY,NO,NO,0,0,2,ARETHUSA,CAYMAN ISLANDS,FERRY,PASSENGER,84,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04C0037,2004,2004-08-15,3,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"IROQUOIS LOCK, ST. LAWRENCE SEAWAY, ONT.",,44.83166,-75.31,LOCK,NO,NO,0,0,1,FEDERAL MAAS,BARBADOS,CARGO - SOLID,BULK CARRIER,20837,1997,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0170,2004,2004-08-15,5,ACCIDENT,SHIPPING ACCIDENT,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),PACIFIC REGION,"NORTH ARM, FRASER RIVER, B.C.",,49.26666,-123.2666,RIVER,NO,NO,0,0,1,RECREATIONAL CRAFT - UNKNOWN,CANADA,SHIPS BOAT,Recreational Craft,,,,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,2018-08-15T10:01:40
M04W0178,2004,2004-08-15,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"VICTORIA, B.C.",,48.4275,-123.3713,HARBOUR AREA,NO,NO,0,0,1,UNK/INC SEASPAN GRAVEL BARGE,CANADA,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,,,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04H0005,2004,2004-08-16,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"MILE 634 MACKENZIE RIVER, N.W.T.",,65.71666,-128.7666,RIVER,NO,NO,0,0,1,ECKALOO,CANADA,SERVICE SHIP,BUOY TENDER/RE-SUPPLY,661.13,1988,,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,2018-08-15T10:01:40
M04W0168,2004,2004-08-16,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"PRINCESS ROYAL CHANNEL, B.C.",,53.18055,-128.7016,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,HAIDA CHIEFTAIN,CANADA,TUG,N/A,561.08,1944,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04W0169,2004,2004-08-16,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,PACIFIC REGION,"ESPINOSA INLET, B.C.",,49.96694,-126.9391,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,LENNIE JANE,CANADA,FISHING,TROLLER,9,1962,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04C0039,2004,2004-08-17,5,INCIDENT,INCIDENT,PERSON (CREW MEMBER) PHYSICAL INCAPACITATION,N/A,CENTRAL REGION,"PIER #25 , HAMILTON HARBOUR, ONT",,43.2775,-79.85567,HARBOUR AREA,NO,NO,0,0,1,CUYAHOGA,CANADA,CARGO - SOLID,BULK CARRIER,10532,1943,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04N0081,2004,2004-08-17,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),ATLANTIC REGION,"CATALINA HARBOUR, NFLD",,47.56166,-52.63166,HARBOUR AREA,NO,NO,0,0,1,SELINA & LLOYD,CANADA,FISHING,UNKNOWN,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0172,2004,2004-08-17,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"CLAYOQUOT SOUND, B.C.",,49.18805,-125.6805,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,CLIFFORD A BARNES,UNITED STATES - US,SURVEY/RESEARCH,OCEANOGRAPHIC/HYDROGRAPHIC SURVEY,86,,,SERVICE,RESEARCH,NO,2018-08-15T10:01:40
M04L0101,2004,2004-08-18,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"SAINTE-ANNE-DE-PORTNEUF, QU�BEC",,48.60833,-69.075,RIVER,NO,NO,0,0,1,GRAND HERON II,CANADA,PASSENGER,PASSENGER ONLY,4.6,,,CARRIAGE OF PEOPLE,EXCURSION - WHALE WATCHING,NO,2018-08-15T10:01:40
M04M0091,2004,2004-08-18,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),ATLANTIC REGION,"LIVINGSTONE COVE, ANTIGONISH CO, NS",,45.87888,-61.96583,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,WHY KNOT 97,CANADA,FISHING,UNKNOWN,14,1996,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04M0092,2004,2004-08-18,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,ATLANTIC REGION,"OFF CAPE FOURCHU, NS.",,43.72444,-66.18666,AT SEA (GENERAL),NO,NO,0,0,1,METEGHAN BREEZE,CANADA,FISHING,UNKNOWN,13.56,1984,,UNKNOWN,N/A,NO,2018-08-15T10:01:40
M04W0173,2004,2004-08-18,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"NORTH ARM, FRASER RIVER, B.C.",,49.38333,-123.5333,RIVER,NO,NO,0,0,2,EVCO CREST,CANADA,TUG,N/A,56.03,1969,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04N0083,2004,2004-08-19,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"SOUTH EAST BIGHT, PLACENTIA BAY, NL",,47.13407,-54.31138,HARBOUR AREA,NO,NO,0,0,1,WINCHESTER,CANADA,FERRY,PASSENGER,384,1969,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04W0174,2004,2004-08-19,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"POINT ATKINSON, B.C.",,49.29027,-123.1138,CHANNEL / STRAIT / SOUND,NO,NO,0,0,2,HARBOUR LYNX,CANADA,PASSENGER,PASSENGER - CARGO,501,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04L0102,2004,2004-08-20,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),CENTRAL REGION,"OFF QUEBEC MARINA, QC",,46.78388,-71.23722,RIVER,NO,NO,0,0,2,CANMAR TRIUMPH,BERMUDA,CARGO - SOLID,CONTAINER SHIP,16680,1978,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04L0103,2004,2004-08-20,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),CENTRAL REGION,"SAINT-SIMEON, FLEUVE SAINT-LAURENT, QUE",,47.84,-69.87361,RIVER,NO,NO,0,0,2,UNK/INC (KAYAK - GRAND CHARLEVOIX),CANADA,SHIPS BOAT,Recreational Craft,,,,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,2018-08-15T10:01:40
M04W0175,2004,2004-08-21,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"VANCOUVER HARBOUR, B.C.",,49.26666,-123.2666,HARBOUR AREA,NO,NO,0,0,2,BURRARD BEAVER,CANADA,PASSENGER,PASSENGER - CARGO,505.61,1976,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M04W0177,2004,2004-08-21,5,ACCIDENT,SHIPPING ACCIDENT,SANK,FLOODING,PACIFIC REGION,"STUART CHANNEL, SOUTH OF RUXTON ISLAND, B.C.",,49.0825,-123.7163,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,VARGAS RAIDER,CANADA,FISHING,UNKNOWN,,,,FISHING,FISHING,YES,2018-08-15T10:01:40
M04F0021,2004,2004-08-22,5,INCIDENT,INCIDENT,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,FOREIGN WATERS,"DETROIT RIVER , NEAR PECHE ISLAND, USA",,4.515555,-82.83333,CHANNEL / STRAIT / SOUND,NO,NO,0,0,2,AGAWA CANYON,CANADA,CARGO - SOLID,BULK CARRIER,16290.42,1970,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04M0106,2004,2004-08-22,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,SOUTH OF THRUMCAP SHOAL,,44.56361,-63.50333,HARBOUR AREA,NO,NO,0,0,1,IONIAN SEA,CANADA,PASSENGER,PASSENGER - CARGO,26,1981,,CARRIAGE OF PEOPLE,EXCURSION,NO,2018-08-15T10:01:40
M04W0176,2004,2004-08-22,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,PACIFIC REGION,"CLIFF BLUFF, LAMA PASSAGE, B.C.",,52.07805,-128.0488,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,GOLD,CANADA,FISHING,GILLNETTER,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04C0041,2004,2004-08-23,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"PORT COLBORNE HRB, ON",,42.86666,-79.25,HARBOUR AREA,NO,NO,0,0,1,JADE STAR,CANADA,CARGO - LIQUID,PRODUCT TANKER,6262,1993,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0179,2004,2004-08-23,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"NOOTKA SOUND, B.C.",,49.63611,-126.968,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SEA FURY,CANADA,FISHING,UNKNOWN,14.52,1957,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04L0105,2004,2004-08-24,3,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"ILE AUX COUDRES, QUEBEC",,47.4225,-70.39055,HARBOUR AREA,NO,NO,0,0,1,FAMILLE DUFOUR II,CANADA,PASSENGER,PASSENGER ONLY,465,1994,,CARRIAGE OF PEOPLE,EXCURSION,NO,2018-08-15T10:01:40
M04M0093,2004,2004-08-24,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"1.5 NM E OF TABLE HEAD, GLACE BAY, NS",,46.22083,-59.92666,AT SEA (GENERAL),NO,NO,0,0,1,MARIO G.,CANADA,FISHING,UNKNOWN,122.53,1966,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04C0042,2004,2004-08-25,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),CENTRAL REGION,"SEAWAY, CIP NO.5 VALLEYFIELD, QC",,45.21867,-74.08549,CANAL,NO,NO,0,0,2,BLUEBILL,ANTIGUA AND BARBUDA,CARGO - SOLID,BULK CARRIER,22654,,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0180,2004,2004-08-25,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"PRINCE RUPERT, B.C.",,52.26527,-127.2652,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SWAN,CANADA,FISHING,GILLNETTER,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0181,2004,2004-08-25,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"TOFINO, B.C.",,48.46416,-128.4644,AT SEA (GENERAL),NO,NO,0,0,2,NEEKIS,CANADA,FISHING,UNKNOWN,130.74,1978,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04M0094,2004,2004-08-26,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,ATLANTIC REGION,NOVA SCOTIA SW COAST,,43.15,-65.95,AT SEA (GENERAL),NO,NO,0,0,1,ALLISON-SHAYNE,CANADA,FISHING,UNKNOWN,13.51,1980,1993,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0182,2004,2004-08-26,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"SANDHEADS, MAIN ARM FRASER RIVER, B.C.",,49.10611,-123.3019,RIVER,NO,NO,0,0,3,EVCO BUCCANEER,CANADA,TUG,N/A,147.77,1970,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M04L0107,2004,2004-08-27,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),CENTRAL REGION,"TROIS RIVIERES, QU�BEC",,46.30833,-72.56166,RIVER,NO,NO,0,0,2,P&O NEDLLOYD AUCKLAND,NETHERLANDS,CARGO - SOLID,CONTAINER SHIP,31333,1998,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M04W0185,2004,2004-08-27,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"SATURNA ISLAND, B.C.",,48.78333,-123.0333,CHANNEL / STRAIT / SOUND,NO,NO,0,0,2,HMCS VICTORIA,CANADA,NAVAL SHIP,N/A,100,,,GOVERNMENT-GENERAL,N/A,NO,2018-08-15T10:01:40
M04M0095,2004,2004-08-28,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,ATLANTIC REGION,NORTHUMBERLAND STRAIT,,45.88277,-63.69555,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,MATTHEW & BRADLEY,CANADA,FISHING,UNKNOWN,12.14,1988,,FISHING,FISHING,NO,2018-08-15T10:01:40
M04W0183,2004,2004-08-28,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,"BOARDING, BEING ON BOARD, FALLING OVERBOARD FROM THE SHIP",PACIFIC REGION,"STRAIT OF GEORGIA, B.C.",,49.26333,-123.665,CHANNEL / STRAIT / SOUND,NO,NO,1,0,1,QUEEN OF OAK BAY,CANADA,FERRY,PASSENGER/VEHICLE,6968.91,1981,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
